Country,LE_index,smoking,narco,Obesity,GDP,Happiness,ge,meat,corr,ed,aversal,inflation,co2,alcohol
Hong Kong,85.63,17.67142857142857,1.737102272727273,23.48276595744681,75216.0,5.32,0.7152340425531916,202.0,76.0,0.521,3.177,1.1,4.34,5.4271276595744675
Hungary,77.18,31.5,0.43,36.4,47636.0,6.02,0.684,89.4,40.0,0.904,1.296,2.1,4.88,36.9
Iceland,83.01,7.9,4.41,22.8,78259.0,7.53,0.926,180.8,77.0,0.826,6.548,5.2,9.36,4.4
India,72.24,21.8,0.94,7.2,11159.0,4.05,0.644,12.5,39.0,0.96,0.735,2.75,1.89,4.9
Indonesia,71.29,38.7,0.38,11.5,16448.0,5.57,0.692,62.3,34.0,0.57,0.451,4.76,2.48,0.8
Iran,77.85,12.5,2.62,25.3,18442.0,4.92,0.583,50.7,23.0,0.676,0.41,48.6,7.67,1.0
Iraq,72.42,19.2,1.73,37.4,14464.0,5.17,0.7152340425531916,13.8,28.0,0.748,0.69,-1.2,4.4,0.4
Ireland,82.58,17.8,3.38,31.08,131175.0,6.84,0.801,101.8,76.0,0.566,4.729,2.7,7.39,8.5
Israel,82.73,19.2,0.69,23.4,55691.0,7.34,0.709,124.1,62.0,0.89,3.715,1.8,6.79,5.9
Italy,83.87,22.1,0.78,21.6,60847.0,6.32,0.704,99.4,53.0,0.863,2.87,1.6,5.42,1.3
Ivory Coast,62.11,0.1,1.737102272727273,10.6,31433.770408163266,5.08,0.647,35.0,43.0,0.6708172043010753,0.204,0.3,4.7582065217391305,10.0
Jamaica,71.61,0.1,0.4,34.2,11662.0,5.84,0.762,86.7,44.0,0.421,0.654,3.9,2.14,5.2
Japan,84.85,17.8,0.33,4.9,51685.0,6.06,0.666,53.5,71.0,0.654,2.583,1.5,8.66,3.4
Jordan,77.98,36.3,1.64,35.6,10821.0,4.19,0.655,42.8,50.0,0.854,0.706,1.06,2.09,0.4
Kazakhstan,74.53,20.9,3.7,19.3,40813.0,6.19,0.698,74.7,38.0,0.697,0.78,11.7,12.27,6.0
Kenya,63.83,9.9,0.39,11.0,6619.0,4.47,0.689,13.6,30.0,0.824,0.523,4.3,0.4,4.0
Kiribati,66.6,36.8,0.42,46.2,3702.0,5.503093525179857,0.7152340425531916,112.3,43.0,0.573,0.765,5.616666666666667,0.57,5.2
Kuwait,80.6,0.2,1.35,45.2,51636.0,6.95,0.646,86.7,46.0,0.631,1.961,2.07,23.99,0.4
Kyrgyzstan,71.82,26.9,2.46,24.4,8009.0,5.503093525179857,0.696,33.3,26.0,0.683,0.335,9.5,1.48,5.9
Laos,69.22,25.1,0.53,7.8,9788.0,5.14,0.692,53.1,34.0,0.761,0.215,6.2,2.66,5.2
Latvia,76.33,32.6,1.72,29.8,43867.0,6.23,0.778,95.7,60.0,0.48,1.41,2.9,3.56,15.5
Lebanon,77.95,34.1,4.25,31.1,12575.0,2.71,0.632,38.2,23.0,0.904,0.944,10.9,4.14,8.7
Lesotho,57.8,24.1,1.67,19.3,2999.0,3.19,0.688,14.8,37.0,0.623,0.131,4.1,0.34,5.2
Liberia,62.32,7.5,1.66,16.2,1885.0,4.27,0.76,23.4,28.0,0.558,0.154,3.2,0.3,5.2
Libya,71.12,17.67142857142857,6.17,36.2,13954.0,5.87,0.7152340425531916,56.5,13.0,0.468,0.175,2.8,8.69,0.3
Liechtenstein,83.75,17.67142857142857,1.737102272727273,23.48276595744681,31433.770408163266,5.503093525179857,0.7152340425531916,67.46573033707865,42.083333333333336,0.6708172043010753,4.428,0.1,4.7582065217391305,5.4271276595744675
Lithuania,76.17,30.2,4.14,31.1,54414.0,6.82,0.783,124.1,65.0,0.844,1.735,3.1,4.71,10.0
Luxembourg,82.36,22.3,1.05,20.2,150772.0,7.12,0.745,110.6,78.0,0.906,6.74,1.26,11.61,6.6
Macau,83.23,17.67142857142857,1.737102272727273,23.48276595744681,128268.0,5.503093525179857,0.7152340425531916,67.46573033707865,42.083333333333336,0.6708172043010753,2.221,0.54,4.7582065217391305,5.4271276595744675
Madagascar,63.83,25.1,0.39,3.8,1883.0,4.23,0.734,9.9,25.0,0.828,0.154,7.2,0.1,2.6
Malawi,67.56,8.6,0.57,6.4,1859.0,3.42,0.7152340425531916,33.6,34.0,0.409,0.138,24.9,0.27,3.5
Malaysia,76.82,0.2,1.09,22.4,38729.0,5.98,0.681,119.3,52.0,0.493,0.962,1.6,8.0,3.0
Maldives,81.29,24.9,0.46,17.7,26543.0,5.503093525179857,0.626,101.2,39.0,0.715,0.209,0.4,4.16,2.3
Mali,60.67,7.3,1.3,10.0,3309.0,4.23,0.617,17.2,28.0,0.599,0.141,0.4,0.29,0.8
Malta,83.47,23.9,1.36,34.6,67364.0,6.35,0.727,102.0,49.0,0.248,1.323,2.3,3.25,3.6
Marshall Islands,67.08,30.4,1.737102272727273,47.3,8198.0,5.503093525179857,0.7152340425531916,67.46573033707865,42.083333333333336,0.848,0.8,5.616666666666667,4.7582065217391305,5.4271276595744675
Mauritania,68.71,8.4,2.66,20.8,7271.0,4.51,0.677,39.5,30.0,0.882,0.148,4.4,0.95,0.4
Mauritius,75.1,20.5,1.16,19.5,31051.0,5.82,0.7152340425531916,74.6,48.0,0.385,0.593,3.9,3.36,5.4
Mexico,75.26,14.1,1.18,36.1,25688.0,6.68,0.776,84.7,27.0,0.739,0.755,3.79,3.79,2.3
Micronesia,67.36,17.67142857142857,0.73,45.6,4346.0,5.503093525179857,0.7152340425531916,106.9,42.083333333333336,0.709,0.615,5.616666666666667,4.7582065217391305,5.3
Moldova,71.33,30.5,1.13,25.5,18716.0,5.82,0.813,50.3,42.0,0.593,0.615,4.8,2.85,6.0
Monaco,86.5,17.67142857142857,1.737102272727273,23.48276595744681,31433.770408163266,5.503093525179857,0.7152340425531916,67.46573033707865,42.083333333333336,0.6708172043010753,0.492,5.616666666666667,4.7582065217391305,5.4271276595744675
Mongolia,71.99,29.2,1.15,24.0,19098.0,5.7,0.728,112.2,31.0,0.807,0.438,7.5,6.53,7.8
Montenegro,77.25,31.5,1.78,21.1,33380.0,5.71,0.705,93.0,46.0,0.716,1.036,2.9,4.7582065217391305,6.0
Morocco,75.49,12.2,0.94,22.1,10305.0,4.8,0.628,57.0,39.0,0.839,1.764,-0.8,1.95,0.4
Mozambique,63.8,17.67142857142857,0.92,8.8,1700.0,5.22,0.738,21.0,21.0,0.609,0.174,3.04,0.31,3.2
Myanmar,67.1,42.3,0.84,7.5,5998.0,4.35,0.7152340425531916,106.0,16.0,0.427,0.397,5.616666666666667,0.7,1.9
Namibia,67.52,13.2,1.74,15.3,11686.0,4.83,0.811,44.3,46.0,0.553,0.165,2.9,1.48,6.3
Nauru,62.28,46.7,1.737102272727273,70.2,14327.0,5.503093525179857,0.7152340425531916,156.2,42.083333333333336,0.568,0.512,5.616666666666667,4.7582065217391305,5.3
Nepal,70.64,25.7,0.42,6.6,5737.0,5.16,0.648,17.7,34.0,0.657,0.18,2.42,0.53,1.8
Netherlands,82.3,19.9,1.03,16.9,84218.0,7.32,0.756,81.0,78.0,0.5,4.688,2.4,7.52,1.5
New Caledonia,78.92,17.67142857142857,1.737102272727273,23.48276595744681,31433.770408163266,5.503093525179857,0.7152340425531916,101.7,42.083333333333336,0.6708172043010753,1.2026,0.4,18.67,5.4271276595744675
New Zealand,82.24,10.9,1.38,34.2,55094.0,7.03,0.827,111.5,81.0,0.92,2.967,3.1,6.31,4.0
Nicaragua,75.1,17.67142857142857,0.86,32.4,8709.0,6.28,0.783,36.3,14.0,0.93,0.37,3.03,0.85,6.6
Niger,61.43,7.5,1.13,5.3,2015.0,4.56,0.613,10.1,31.0,0.593,0.154,-9.4,0.1,0.7
Nigeria,54.63,2.8,5.81,10.8,6440.0,4.88,0.649,13.8,26.0,0.243,0.273,15.1,0.55,0.6
North Korea,73.74,15.4,1.24,1.9,31433.770408163266,5.503093525179857,0.7152340425531916,24.6,15.0,0.6708172043010753,0.144,5.616666666666667,2.07,3.5
North Macedonia,77.54,17.67142857142857,0.39,30.6,26587.0,5.37,0.699,46.5,40.0,0.545,0.765,5.616666666666667,4.53,6.0
Norway,83.46,12.2,4.45,19.8,101032.0,7.3,0.863,117.5,81.0,0.701,5.772,3.6,7.75,7.2
Oman,80.25,8.6,0.54,30.2,41664.0,5.503093525179857,0.637,69.5,52.0,0.937,1.733,1.4,19.38,0.4
Pakistan,67.8,17.2,0.54,21.8,6287.0,4.66,0.567,20.2,28.0,0.758,0.177,7.0,0.82,0.4
Palau,69.38,16.6,1.737102272727273,42.2,17532.0,4.88,0.7152340425531916,67.46573033707865,42.083333333333336,0.366,0.203,5.616666666666667,76.41,5.3
Palestine,69.21,17.67142857142857,1.737102272727273,23.48276595744681,31433.770408163266,5.503093525179857,0.7152340425531916,67.46573033707865,42.083333333333336,0.6708172043010753,0.104,-14.4,4.7582065217391305,5.4271276595744675
Panama,79.77,4.5,0.75,36.1,41405.0,6.36,0.741,100.5,33.0,0.697,0.824,0.2,2.59,6.8
Papua New Guinea,66.26,38.1,0.2,20.1,4889.0,5.503093525179857,0.638,77.0,26.0,0.723,0.181,4.7,0.46,5.3
Paraguay,73.98,9.4,0.57,32.1,18524.0,5.98,0.703,44.9,24.0,0.472,0.439,2.3,1.47,7.0
Peru,77.94,5.8,1.92,27.2,17802.0,5.84,0.735,80.4,30.0,0.683,0.49,2.21,1.84,8.9
Philippines,69.95,19.1,0.73,8.7,11794.0,6.05,0.781,62.9,32.0,0.744,0.393,2.4,1.36,5.3
Poland,78.81,22.1,0.69,31.4,50378.0,6.44,0.75,102.0,52.0,0.656,1.523,2.2,8.39,12.8
