Country,LE_index,smoking,narco,Obesity,GDP,Happiness,ge,meat,corr,ed,aversal,inflation,co2,alcohol
Barbados,76.33,6.7,0.35,38.2,22672.0,5.503093525179857,0.786,115.9,68.0,0.788,1.191,1.7,2.39,6.7
Belarus,74.62,28.9,3.17,26.6,33006.0,5.503093525179857,0.736,102.2,31.0,0.796,0.728,6.4,6.26,18.8
Belgium,82.27,26.3,1.97,22.0,72126.0,6.89,0.773,84.5,69.0,0.917,2.461,1.45,7.77,8.1
Belize,73.74,8.3,0.43,41.9,15093.0,5.503093525179857,0.702,61.8,36.0,0.638,0.581,0.04,0.67,7.3
Benin,60.96,5.5,2.36,9.9,4435.0,4.38,0.676,30.7,45.0,0.389,0.217,0.9,0.7,6.4
Bermuda,82.49,17.67142857142857,1.737102272727273,23.48276595744681,119719.0,5.503093525179857,0.7152340425531916,67.46573033707865,42.083333333333336,0.6708172043010753,1.2026,2.2,4.9,5.4271276595744675
Bhutan,73.26,17.6,0.97,12.0,16254.0,5.503093525179857,0.663,23.4,71.0,0.557,0.182,3.37,2.19,2.1
Bolivia,68.74,11.1,2.34,27.8,11190.0,5.78,0.747,79.9,28.0,0.743,0.588,17.41,1.82,6.7
Bosnia and Herzegovina,78.04,35.2,0.64,25.5,21971.0,5.88,0.717,50.0,34.0,0.719,1.034,3.6,6.81,6.0
Botswana,69.29,17.6,1.4,17.5,20538.0,3.38,0.731,31.1,58.0,0.663,0.523,4.1,3.37,7.1
Brazil,76.02,11.1,1.08,28.8,22333.0,6.27,0.72,107.3,35.0,0.71,0.509,4.44,2.22,4.2
Brunei,75.5,16.4,0.73,32.4,90007.0,5.503093525179857,0.7152340425531916,67.46573033707865,42.083333333333336,0.687,1.815,-0.2,20.59,2.3
Bulgaria,75.8,38.8,0.87,24.2,41086.0,5.46,0.706,64.4,40.0,0.766,1.054,3.3,7.34,6.9
Burkina Faso,61.29,13.1,1.42,6.1,2896.0,4.55,0.659,43.2,40.0,0.302,0.178,-2.2,0.26,1.8
Burundi,63.82,10.1,0.77,4.5,950.0,5.503093525179857,0.756,5.8,17.0,0.388,0.423,15.2,0.07,6.8
Cambodia,70.82,15.3,0.45,4.4,7970.0,4.34,0.682,58.7,20.0,0.496,0.322,1.26,1.02,5.1
Cameroon,63.97,5.8,5.35,13.4,5592.0,4.87,0.697,30.7,26.0,0.589,0.193,2.5,0.36,7.0
Canada,82.72,10.7,8.7,27.3,65463.0,6.9,0.767,111.3,75.0,0.908,5.188,2.3,14.99,8.0
Cape Verde,76.22,10.2,1.737102272727273,15.1,31433.770408163266,5.503093525179857,0.7152340425531916,67.46573033707865,42.083333333333336,0.6708172043010753,0.232,1.4,1.95,6.3
